
A* from 1 to 29
    63     01     05     60     OCXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXO.OXXXXXXXXXXXXXXXXXXXXXXO
    64     00     05     61     OXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXCOOXXXXXXXXXXXXXXXXXXXXXXO
    65     00     04     62     CXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXOOXXXXXXXXXXXXXXXXXXXXXXO

A* from 33 to 66
  itera  unvis   open  closed
    00     65     01     00     C...............................O.................................
    01     64     02     00     ............O...................C.................................
    02     61     04     01     ...........OCO...............O..X.................................
    03     59     05     02     ...........OXCO..............O.OX.................................
    04     57     06     03     ...........OXXCO.............OOOX.................................
    05     53     09     04     ...........OXXXCO...........OOOOX....O.....O......................
    06     50     11     05     ...........OXXXXCO.........OOOOOX....O.....OO.....................
    07     49     11     06     ...........OXXXXXO.........OOOOOX....O.....CO.......O.............
    08     45     14     07     ...........OXXXXXCO......O.OOOOOX....O.....XOO......O.....O.......
    09     45     13     08     ...........OXXXXXXO......O.OOOOCX....O.....XOO......O.....O.......
    10     45     12     09     ...........OXXXXXXO......O.OOOCXX....O.....XOO......O.....O.......
    11     44     12     10     ...........OXXXXXXO......O.OOOXXX....O.....XOO.....OC.....O.......
    12     43     12     11     ...........OXXXXXXO......O.OOOXXX....O.....XOCO....OX.....O.......
    13     41     13     12     ...........OXXXXXXO......O.OOOXXX....O.....XOXO...OCXO....O.......
    14     39     14     13     ..........OCXXXXXXO......O.OOOXXXO...O.....XOXO...OXXO....O.......
    15     37     15     14     ..........OXXXXXXXO......O.OOOXXXO...O.....XOXO..OCXXOO...O.......
    16     35     16     15     ..........OXXXXXXXO......O.OOOXXXO...O.....XOXO.OCXXXOOO..O.......
    17     33     17     16     ..........OXXXXXXXO......O.OOOXXXO...O.....XOXOOCXXXXOOOO.O.......
    18     33     16     17     ..........OXXXXXXXO......O.OOCXXXO...O.....XOXOOXXXXXOOOO.O.......
    19     31     17     18     ..........OXXXXXXXO......O.OOXXXXO...O.....XOXCOXXXXXOOOO.O.O..O..
    20     30     17     19     ..........OXXXXXXXO......O.OOXXXXO...O.....XOXXCXXXXXOOOOOO.O..O..
    21     28     18     20     ..........OXXXXXXXO......O.OOXXXXO...O.....XOXXXXXXXXOOOOOO.O.OC.O
    22     28     17     21     ..........OXXXXXXXO......O.OOXXXXO...O.....XOXXXXXXXXOOOOOC.O.OX.O
    23     28     16     22     ..........OXXXXXXXO......O.OCXXXXO...O.....XOXXXXXXXXOOOOOX.O.OX.O
    24     26     17     23     ..........OXXXXXXXO......O.OXXXXXO..OC.O...XOXXXXXXXXOOOOOX.O.OX.O
    25     23     19     24     ..........OXXXXXXXCO....OO.OXXXXXO..OX.O...XOXXXXXXXXOOOOOX.OOOX.O
    26     23     18     25     ..........OXXXXXXXXO....OO.OXXXXXO..OX.O...XOXXXXXXXXOOOOOX.OCOX.O
    27     23     17     26     ..........OXXXXXXXXO....OO.OXXXXXO..OX.O...XOXXXXXXXXOOOOOX.OXCX.O
    28     23     16     27     ..........OXXXXXXXXO....OO.OXXXXXO..OX.O...XOXXXXXXXXOOOOOX.OXCX.O
    29     23     16     27     ..........OXXXXXXXXO....OO.CXXXXXO..OX.O...XOXXXXXXXXOOOOOX.OXXX.O
    30     23     15     28     ..........OXXXXXXXXO....OO.XXXXXXO..OX.O...XCXXXXXXXXOOOOOX.OXXX.O
    31     23     14     29     ..........OXXXXXXXXO....OO.XXXXXXC..OX.O...XXXXXXXXXXOOOOOX.OXXX.O
    32     23     13     30     ..........OXXXXXXXXO....OO.XXXXXXX..OX.O...XXXXXXXXXXCOOOOX.OXXX.O
    33     23     12     31     ..........OXXXXXXXXO....OO.XXXXXXX..OX.O...XXXXXXXXXXXCOOOX.OXXX.O
    34     23     11     32     ..........OXXXXXXXXO....OO.XXXXXXX..OX.O...XXXXXXXXXXXXCOOX.OXXX.O
    35     23     10     33     ..........OXXXXXXXXO....OO.XXXXXXX..OX.O...XXXXXXXXXXXXXCOX.OXXX.O
    36     23     09     34     ..........OXXXXXXXXO....OO.XXXXXXX..OX.O...XXXXXXXXXXXXXXCX.OXXX.O
    37     22     09     35     ..........CXXXXXXXXO....OO.XXXXXXXO.OX.O...XXXXXXXXXXXXXXXX.OXXX.O
    38     21     09     36     ..........XXXXXXXXXO....OCOXXXXXXXO.OX.O...XXXXXXXXXXXXXXXX.OXXX.O
    39     20     09     37     ..........XXXXXXXXXO....OXOXXXXXXXO.OX.O...XXXXXXXXXXXXXXXX.CXXXOO
    40     20     08     38     ..........XXXXXXXXXO....OXOXXXXXXXO.OX.O...XXXXXXXXXXXXXXXX.CXXXOO
    41     20     08     38     C.........XXXXXXXXXO....OXOXXXXXXXO.OX.O...XXXXXXXXXXXXXXXX.XXXXOO

A* from 58 to 43
  itera  unvis   open  closed
    00     65     01     00     C........................................................O........
    01     64     02     00     ...............................................O.........C........
    02     62     03     01     ..............................................OCO........X........
    03     59     05     02     .............................................OCXO........X..O..O..
    04     57     06     03     .............................................OXXCO......OX..O..O..
    05     55     07     04     .............................................OXXXO......OX..O.OC.O
    06     52     09     05     ............................................OOXXXCO....OOX..O.OX.O
    07     52     08     06     ............................................OOXXXXO....OCX..O.OX.O
    08     50     09     07     .................O..........................OCXXXXO....OXXO.O.OX.O
    09     48     10     08     .................O..........................OXXXXXCO..OOXXO.O.OX.O
    10     48     09     09     .................O..........................OXXXXXXO..OCXXO.O.OX.O
    11     48     08     10     .................O..........................OXXXXXXO..CXXXO.O.OX.O
    12     46     09     11     .................O..........................OXXXXXXCOOXXXXO.O.OX.O
    13     44     10     12     ................OO.........................OCXXXXXXXOOXXXXO.O.OX.O
    14     44     09     13     ................OO.........................OXXXXXXXXCOXXXXO.O.OX.O
    15     44     08     14     ................OO.........................OXXXXXXXXXCXXXXO.O.OX.O
    16     42     09     15     ................OO.........................OXXXXXXXXXXXXXXO.COOXOO
    17     42     08     16     ................OO.........................OXXXXXXXXXXXXXXO.XOOXCO
    18     40     09     17     ................OCO......O.................OXXXXXXXXXXXXXXO.XOOXXO
    19     40     08     18     ................OXO......O.................OXXXXXXXXXXXXXXC.XOOXXO
    20     38     09     19     ...............OOXO......O...........O.....CXXXXXXXXXXXXXXX.XOOXXO
    21     38     08     20     ...............OOXO......O...........O.....CXXXXXXXXXXXXXXX.XOOXXO
    22     38     08     20     ...............OOXO......O...........O.....XXXXXXXXXXXXXXXX.XCOXXO
    23     38     07     21     ...............OOXO......O...........O.....XXXXXXXXXXXXXXXX.XXCXXO
    24     38     06     22     ...............OOXO......O...........O.....XXXXXXXXXXXXXXXX.XXXXXC
    25     36     07     23     ...............OOXO......O..........OC.O...XXXXXXXXXXXXXXXX.XXXXXX
    26     34     08     24     ...............OOXO......COO........OX.O...XXXXXXXXXXXXXXXX.XXXXXX
    27     32     09     25     ...............OOXCO....OXOO........OX.O...XXXXXXXXXXXXXXXX.XXXXXX
    28     30     10     26     ..............OCOXXO....OXOOO.......OX.O...XXXXXXXXXXXXXXXX.XXXXXX
    29     30     09     27     ..............OXCXXO....OXOOO.......OX.O...XXXXXXXXXXXXXXXX.XXXXXX
    30     28     10     28     ..............OXXXXO....OXOOO.......OX.CO.OXXXXXXXXXXXXXXXX.XXXXXX
    31     28     09     29     C.............OXXXXO....OXOOO.......OX.XO.OXXXXXXXXXXXXXXXX.XXXXXX
